2025-09-11 21:35:07 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-11 21:35:10 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-11 21:35:10 | INFO | app.handlers.master:process_dispute:1035 | Analysis 37 disputed by master
2025-09-11 21:35:17 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-12 13:25:19 | INFO | __main__:main:82 | Bot stopped
2025-09-12 13:25:25 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-12 13:25:25 | INFO | __main__:main:60 | Bot configuration complete
2025-09-12 13:25:25 | INFO | __main__:main:65 | Database connection successful
2025-09-12 13:25:26 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-12 15:23:28 | INFO | app.middlewares.auth:__call__:69 | Master 1105228578 (Реалист) accessing system
2025-09-12 20:30:35 | WARNING | app.handlers.common:cmd_start:70 | Unauthorized user started bot: Артём Кужбалов (@ArtemKuzhbalov) [ID: 304979538]
2025-09-12 20:30:35 | WARNING | app.handlers.common:cmd_start:70 | Unauthorized user started bot: Артём Кужбалов (@ArtemKuzhbalov) [ID: 304979538]
2025-09-12 20:30:35 | WARNING | app.handlers.common:cmd_start:70 | Unauthorized user started bot: Артём Кужбалов (@ArtemKuzhbalov) [ID: 304979538]
2025-09-12 20:31:29 | INFO | __main__:main:82 | Bot stopped
2025-09-12 20:31:32 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-12 20:31:32 | INFO | __main__:main:60 | Bot configuration complete
2025-09-12 20:31:32 | INFO | __main__:main:65 | Database connection successful
2025-09-12 20:31:33 | INFO | __main__:main:70 | Bot started: @ai_mentor_BBB_bot
2025-09-12 20:34:51 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:34:51 | INFO | app.handlers.common:cmd_start:32 | Owner started bot: Артём Кужбалов (@ArtemKuzhbalov) [ID: 304979538]
2025-09-12 20:35:02 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:04 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:09 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:15 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:23 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:23 | INFO | app.handlers.admin_salons:process_salon_quota:170 | New salon created: Бьюти in Ярославль with quota 10
2025-09-12 20:35:29 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:32 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:35:38 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:09 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:18 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:18 | INFO | app.handlers.admin_masters:process_master_salon:190 | New master created: Артём (ID: 304979538) for salon Бьюти
